Lon,Lat,Clave,Edo,Est,Tmed
-101.55,17.65,ZHTGR,GRO,Zihuatanejo Gro.,29.8
-98.49,17.9,XXHGR,GRO,Xochihuehuetl·n Gro.,22.2
-99.55,18.35,IGLGR,GRO,Iguala Gro.,24.3
-100.66,18.36,CALGR,GRO,Ciudad Altamirano Gro.,26.4
-101,18.42,LCLGR,GRO,La Calera Gro.,23.5
-99.4,18.46,BVSGR,GRO,Buena Vista Gro.,21.2
-99.37,17.47,MCHGR,GRO,Mochitl·n Gro.,22.6
-101.06,17.27,PTOVICENTEMAR,GRO,Puerto Vicente Gro. SEMAR*,27.0
-102.12,17.98,PETACALCO,GRO,Petacalco Gro. SMN*,26.0
-99.47,18.3,VTRGR,GRO,Valerio Trujano Gro.,25.2
-99.23,16.76,LASVIGAS,GRO,Las Vigas Gro. ProtecciÛn Civil*,26.6
-98.74,17.78,OLNGR,GRO,Olinal· Gro.,24.9
-99.52,17.58,AERGR,GRO,Observatorio de Chilpancingo Aeropuerto Gro.,22.8
-98.97,16.61,COPGR,GRO,Copala Gro.,26.1
-99.75,16.76,ACAPULCOob,GRO,Observatorio de Acapulco Gro. SMN*,26.7
-99.48,16.8,SNMGR,GRO,San Marcos Gro.,24.8
-101.47,21.07,COMGJ,GTO,Comanjilla Gto.,16.1
-101.22,21.48,SFEGJ,GTO,San Felipe Gto.,11.6
-100.36,20.2,CORGJ,GTO,Coroneo Gto.,13.7
-101.11,21.32,LQMGJ,GTO,La Quemada Gto.,11.2
-100.5,21.22,POZGJ,GTO,Pozos Gto.,13.8
-101.02,20.43,SMAGJ,GTO,San Miguel de Allende Gto.,15.4
-100.75,20.58,SMOGJ,GTO,San Miguel Octopan Gto.,15.4
-100.71,20.03,ACNGJ,GTO,Ac·mbaro Gto.,16.4
-100.67,20.06,SLSGJ,GTO,SolÌs Gto.,16.9
-100.52,20.15,JCRGJ,GTO,JerÈcuaro Gto.,15.9
-100.9,20.28,ECBGJ,GTO,El Cubo Gto.,14.2
-100.89,20.22,SLVGJ,GTO,Salvatierra Gto.,15.5
-101.36,20.28,LJIGJ,GTO,Las JÌcamas Gto.,17.0
-101.07,20.29,LDYGJ,GTO,Laguna de Yuriria Gto.,16.0
-101.07,20.3,SRTGJ,GTO,Santa Rita Gto.,15.2
-101.18,20.38,VDSGJ,GTO,Valle de Santiago Gto.,15.3
-101.54,20.45,ABSGJ,GTO,Abasolo Gto.,17.6
-101.74,20.44,GLNGJ,GTO,La Golondrina Gto.,16.3
-100.62,20.45,APSGJ,GTO,Apaseo el Alto Gto.,17.9
-100.96,20.49,CRTGJ,GTO,Cort·zar Gto.,17.0
-101.63,20.5,ATBGJ,GTO,Agua Tibia Gto.,15.8
-101.11,20.52,PERGJ,GTO,Pericos Gto.,15.3
-100.82,20.54,CLYGJ,GTO,Celaya Gto.,15.1
-100.58,20.55,AMCGJ,GTO,Ameche Gto.,15.4
-101.2,20.57,SLMGJ,GTO,Salamanca Gto.,16.9
-101.3,20.6,TEMGJ,GTO,TemascatÌo Gto.,17.5
-101.67,20.62,CRMGJ,GTO,Cuer·maro Gto.,18.2
-101.84,20.68,LADGJ,GTO,Las Adjuntas Gto.,15.5
-101.35,20.68,IRPGJ,GTO,Irapuato Gto.,15.7
-101.37,20.72,ECNGJ,GTO,El Conejo Gto.,16.1
-100.83,20.85,IALGJ,GTO,Ignacio Allende Gto.,15.5
-101.29,20.87,PRSGJ,GTO,La PurÌsima Gto.,17.0
-100.9,20.95,CSRGJ,GTO,Cinco SeÒores Gto.,13.7
-101.84,21.05,BRRGJ,GTO,El Barrial Gto.,14.9
-101.69,21.14,LENGJ,GTO,LeÛn Gto.,17.8
-100.93,21.15,DHGGJ,GTO,Dolores Hidalgo Gto.,14.2
-101.68,21.17,EPLGJ,GTO,El Palote Gto.,16.5
-101.67,21.2,CSTGJ,GTO,Los Castillos Gto.,16.9
-101.63,21.29,BARBOSA,GTO,Barbosa Gto. ProtecciÛn Civil*,14.3
-100.09,21.3,XICGJ,GTO,Xich˙ Gto.,17.2
-100.52,21.3,SLPGJ,GTO,San Luis de la Paz Gto.,12.9
-101.48,21.65,OCMGJ,GTO,Ocampo Gto.,11.8
-100.88,20.4,LGVGJ,GTO,Presa la Gavia Gto.,14.5
-101.63,20.51,CORRALEJO,GTO,Corralejo Hidalgo Gto. ProtecciÛn Civil*,17.9
-101.24,20.87,ECHGJ,GTO,El ChapÌn Gto.,15.6
-101.25,21.02,GUANAJUATOob,GTO,Observatorio de Guanajuato Gto. SMN*,17.1
-100.88,21.1,PNLGJ,GTO,PeÒuelitas Gto.,13.7
-100.5,21.22,MINERALPOZOS,GTO,Mineral de Pozos Gto. ProtecciÛn Civil*,13.4
-99.83,21.32,SGORDAII,GTO,Sierra Gorda 2 Gto. SMN*,14.1
-102,20.8,FRIAS,GTO,FrÌas Gto. ProtecciÛn Civil*,16.3
-100.82,20.85,PALGJ,GTO,Presa Allende Gto. SMN*,15.2
-101.27,21.01,GTOGJ,GTO,Observatorio de Guanajuato Gto.,15.8
-99.31,19.96,PRQHD,HGO,Requena Hgo.,15.2
-98.33,20.06,PERHD,HGO,La Esperanza Hgo.,13.5
-98.75,20.12,PCOHD,HGO,Observatorio de Pachuca Hgo.,14.8
-99.36,20.16,ENDHD,HGO,EndhÛ Hgo.,16.0
-99.22,20.24,MXQHD,HGO,Mixquiahuala Hgo.,15.4
-98.94,20.27,ACTHD,HGO,Actopan Hgo.,14.2
-99.33,20.36,PRGHD,HGO,Javier Rojo GÛmez Hgo.,15.4
-99.38,20.44,PVAHD,HGO,Vicente Aguirre Hgo.,15.0
-99.22,20.48,IXMHD,HGO,Ixmiquilpan Hgo.,15.7
-98.76,20.59,LMTHD,HGO,Metztitl·n Hgo.,19.8
-98.65,20.65,ZXTHD,HGO,Zacualtip·n Hgo.,13.0
-99.5,20.66,ZMPHD,HGO,Ing. Fernando Hiriart Balderrama Hgo.,18.7
-98.35,21.02,ATCHD,HGO,Atlapexco Hgo.,20.6
-98.42,21.15,HJTHD,HGO,Huejutla Hgo.,21.0
-98.27,19.97,TEZONCUALPA,HGO,Tezoncualpa Hgo. OCAVM*,13.6
-98.75,20.12,PACHUCAob,HGO,Observatorio de Pachuca Hgo. SMN*,14.8
-98.13,20.14,LAGUNA,HGO,La Laguna Hgo. FENIX*,11.6
-98.72,20.19,ELCHICO,HGO,El Chico Hgo. SMN*,10.7
-98.08,20.46,HHTHD,HGO,Huehuetla Hgo.,19.2
-99.22,20.87,MARMOLES,HGO,Los M·rmoles Hgo. SMN*,12.7
-98.47,19.73,ITESAAPAN,HGO,ITESA Apan Hgo. SMN*,11.9
-98.37,20.08,TLGHD,HGO,Observatorio de Tulancingo Hgo.,15.6
-98.36,20.08,TULANCINGOob,HGO,Observatorio de Tulancingo Hgo. SMN*,14.8
-98.6,21.17,ORZHD,HGO,San Felipe Orizatl·n Hgo.,19.1
-103.42,20.44,TLAJOMULCO,JAL,Tlajomulco Jal. SMN*,16.3
-103.4,18.97,TRJCM,JAL,Solidaridad Jal.,25.5
-104.57,19.23,CIHJL,JAL,Cihuatl·n Jal.,26.2
-104.06,19.91,BBAJL,JAL,Basilio Vadillo Jal.,21.4
-103.2,20.29,LDCJL,JAL,Lago de Chapala Jal.,18.8
-102.71,20.29,JMYJL,JAL,Jamay Jal.,14.9
-103.09,20.4,ATQJL,JAL,Atequiza Jal.,17.0
-102.25,20.48,HUAJL,JAL,Huascato Jal.,16.7
-104.05,20.55,RAMJL,JAL,RÌo Ameca Jal.,16.6
-102.5,20.55,ATOTONILCOCFE,JAL,Atotonilco Jal. CFE*,16.9
-103.32,20.58,TLAJL,JAL,Tlaquepaque Jal.,18.8
-103.36,20.58,PITJL,JAL,ProtecciÛn a Infraestructura y AtenciÛn a Emergencias Jal.,18.1
-103.85,20.6,VEGJL,JAL,Ing. Santiago Camarena Jal.,17.2
-103.35,20.68,GUAJL,JAL,Guadalajara Centro Jal.,17.1
-103.34,20.72,EXPJL,JAL,La Experiencia Jal.,17.9
-103.45,20.75,BAZJL,JAL,Base AÈrea Zapopan Jal.,15.7
-103.45,21.07,CXTJL,JAL,Cuixtla Jal.,20.7
-102.85,21.13,CUNJL,JAL,La CuÒa Jal.,18.2
-102.5,21.3,SGRJL,JAL,San Gaspar de los Reyes Jal.,12.7
-101.85,21.35,SAUJL,JAL,La Sauceda Jal.,14.1
-101.92,21.36,LDMJL,JAL,Lagos de Moreno Jal.,14.1
-102.58,21.45,TCAJL,JAL,Teocaltiche Jal.,15.5
-101.74,21.5,CRTJL,JAL,El Cuarenta Jal.,15.1
-102.44,21.6,AJJJL,JAL,Ajoj˙car Jal.,13.8
-103.2,22.17,TENJL,JAL,Tenasco Jal.,14.0
-102.77,19.29,CHLMC,JAL,ConstituciÛn de Apatzing·n Jal.,27.0
-103.78,21.83,BLNJL,JAL,BolaÒos Jal.,19.6
-103.23,22.33,ACHZC,JAL,Achimec Jal.,12.8
-103.72,22.41,BCSJL,JAL,Bocas Jal.,14.3
-104.29,19.85,ELCJL,JAL,El Corcovado Jal.,21.6
-103.92,19.46,SMANANTLANI,JAL,Sierra Manatl·n 1 Jal. SMN*,13.7
-103.59,19.59,NEVADOCOLIMA,JAL,Nevado de Colima Jal. SMN*,8.5
-103.46,19.73,CDGUZMANob,JAL,Observatorio de Ciudad Guzm·n Jal. SMN*,18.2
-105.13,20,RIOTOMATLAN,JAL,RÌo Tomatl·n Jal. SMN*,24.7
-103.42,20.27,JOCJL,JAL,Jocotepec Jal. SMN*,16.8
-103.2,20.29,CHAJL,JAL,Chapala 1 Jal. SMN*,18.8
-103.39,20.71,GUADALAJARAob,JAL,Observatorio de Guadalajara  Jal. SMN*,16.8
-102.71,21.04,ELSALTO,JAL,El Salto Jal. SGT*,16.4
-101.94,21.35,LMORENOob,JAL,Observatorio de Lagos de Moreno Jal. SMN*,16.7
-104.56,19.63,CHFJL,JAL,El ChiflÛn Jal,23.4
-103.47,19.7,CGZJL,JAL,Observatorio de Ciudad Guzm·n Jal.,17.8
-103.03,20.17,TZPJL,JAL,Tizap·n Jal.,18.1
-103.39,20.71,GUCJL,JAL,Observatorio de Guadalajara Jal.,16.8
-103.25,22.13,CLTJL,JAL,Observatorio de Colotl·n Jal.,14.6
-103.59,20.42,ACTJL,JAL,Acatl·n Jal.,16.3
-103.65,20.47,HRTJL,JAL,Hurtado Jal.,15.8
-105.13,20,CPEJL,JAL,CajÛn de PeÒa Jal.,24.9
-99.24,19.53,CLYMX,MEX,Calacoaya MÈx.,14.4
-99.61,19.43,TROMX,MEX,Trojes MÈx.,12.6
-98.87,19.19,SLAMX,MEX,San Luis Ameca MÈx.,13.7
-99.51,19.2,CGCMX,MEX,Gerencia Conagua CODAGEM MÈx.,11.1
-99.71,19.29,TOLUCAob,MEX,Observatorio de Toluca MÈx. SMN*,10.8
-99.28,19.45,PTLMX,MEX,Presa Totolica MÈx.,11.9
-99.24,19.45,EMOMX,MEX,El Molinito RÌo Hondo MÈx.,12.0
-99.78,19.46,PIRMX,MEX,Ignacio RamÌrez MÈx.,10.1
-99.7,19.47,SBBMX,MEX,JosÈ Antonio Alzate MÈx.,9.3
-99.22,19.48,MBLMX,MEX,Molino Blanco MÈx.,15.6
-98.88,19.48,CHPMX,MEX,Chapingo MÈx.,15.3
-99.22,19.57,ARBMX,MEX,Las Arboledas MÈx.,15.2
-98.92,19.58,GRDMX,MEX,La Grande MÈx.,15.6
-99.19,19.62,OBSMX,MEX,San MartÌn Obispo MÈx.,13.8
-99.05,19.63,K27MX,MEX,km 27+250 MÈx.,15.1
-99.96,19.66,TPTMX,MEX,San AndrÈs Tepetitl·n MÈx.,11.4
-99.3,19.7,CNPMX,MEX,La ConcepciÛn MÈx.,13.3
-99.18,19.74,PCGMX,MEX,Puente Colgante MÈx.,12.2
-99.87,19.78,ATPMX,MEX,Atlacomulco Prepa. MÈx.,11.1
-99.56,19.88,DNXMX,MEX,DanxhÛ MÈx.,11.6
-99.86,20.04,PNDMX,MEX,—adÛ MÈx.,10.5
-99.7,20.05,HPNMX,MEX,Huapango MÈx.,9.2
-99.74,20.12,PMNMX,MEX,El Molino MÈx.,10.3
-98.91,19.53,SADMX,MEX,San AndrÈs MÈx.,14.4
-98.91,19.54,ATEMX,MEX,Atenco MÈx.,13.9
-99.39,19.83,TXMHD,MEX,Taxhimay MÈx.,13.5
-99.6,19.21,RECMX,MEX,RectorÌa MÈx.,12.4
-99.7,19.33,CALMX,MEX,Calixtlahuaca MÈx.,10.8
-99.8,19.63,SMLMX,MEX,Santa MarÌa del Llano MÈx.,11.6
-99.79,19.83,PFBMX,MEX,Francisco JosÈ Trinidad Fabela MÈx.,11.1
-99.94,18.93,TESMX,MEX,Texcaltitl·n MÈx.,13.3
-99.8,19.34,TBRMX,MEX,Tres Barrancas MÈx.,10.1
-99.91,19.86,TJCMX,MEX,El Tejocote MÈx.,12.0
-99.77,19.57,IXCMX,MEX,Ixtlahuaca MÈx.,12.1
-99.74,19.59,SLBMX,MEX,San Bartolo del Llano MÈx.,10.0
-99.44,18.86,ALAMEDA1,MEX,Alameda 1 MÈx. FENIX*,19.6
-99.68,19.12,NEVMX,MEX,Nevado de Toluca MÈx. SMN*,3.7
-98.77,19.32,MAVILACAMACHO,MEX,Manuel ¡vila Camacho MÈx. OCAVM*,8.1
-98.83,19.5,SANCTORUM,MEX,Sanctorum MÈx. OCAVM*,10.9
-99.27,19.52,PREMX,MEX,Presa MadÌçn MÈx. SMN*,13.6
-99.47,18.8,CHDMX,MEX,Colonia Hidalgo MÈx,22.7
-99.42,18.99,OCUMX,MEX,Ocuil·n de Arteaga MÈx,13.7
-99.96,19.21,CDEPIEDRAS,MEX,Corral de Piedras Mex. SMN*,6.6
-99.63,19.29,COBMX,MEX,Observatorio de Toluca MÈx.,11.9
-100.14,19.31,DONATOGUERRA,MEX,Donato Guerra Mex. SMN*,11.3
-98.88,19.33,IXTAPALUCA,MEX,Ixtapaluca MÈx. OCAVM*,16.0
-100.08,19.38,VALLEDEBRAVO,MEX,Valle de Bravo MÈx. SMN*,10.5
-99.28,19.45,TTLMX,MEX,Totolica hidromÈtrica MÈx.,16.5
-99.97,19.54,CDELCERRILLO,MEX,Centro del Cerrillo Mex. OCAVM*,16.9
-99.52,19.57,CCAMX,MEX,Cerro Catedral MÈx. SMN*,6.5
-98.86,19.64,SNLMX,MEX,San Lucas MÈx,12.7
-99.87,19.78,ATLMX,MEX,Atlacomulco MÈx. SMN*,12.3
-99.12,19.9,TTQMX,MEX,Tajo de Tequixquiac MÈx,12.9
-99.76,19.24,SJHMX,MEX,San Juan de las Huertas MÈx.,10.3
-101.66,19.93,AMEMC,MICH,Aristeo Mercado Mich.,15.9
-102.18,18.05,VILMC,MICH,JosÈ MarÌa Morelos y PavÛn Mich.,27.7
-101.88,18.27,INFMC,MICH,Infiernillo Mich.,27.9
-100.9,18.5,CMNMC,MICH,Caimanera Mich.,26.0
-102.2,18.8,LPSMC,MICH,La PastorÌa Mich.,27.0
-101.93,18.92,ZICMC,MICH,Zicuir·n Mich.,27.8
-102.37,19.08,APTMC,MICH,Apatzing·n Mich.,25.6
-102.87,19.21,LOLMC,MICH,Los Olivos Mich.,24.7
-101.05,19.49,PDBMC,MICH,Planta de Bombeo Mich.,16.1
-100.61,19.58,AGOMC,MICH,Agostitl·n Mich.,12.2
-100.68,19.62,PUCMC,MICH,Pucuato Mich.,11.7
-101.26,19.63,COIMC,MICH,CoÌntzio Mich.,15.3
-101.2,19.7,MNOMC,MICH,Morelia Norte Mich.,17.3
-101.1,19.7,MCEMC,MICH,Morelia Centro Mich.,16.5
-100.55,19.7,CHIMC,MICH,Ciudad Hidalgo Mich.,14.6
-100.87,19.83,MLPMC,MICH,MalpaÌs Mich.,14.6
-102.65,19.84,SJUMC,MICH,San Juanico Mich.,16.8
-100.44,19.89,MRVMC,MICH,MaravatÌo Mich.,15.2
-100.45,19.97,EGIMC,MICH,El Gigante Mich.,16.3
-102.27,19.97,CHAMC,MICH,Chaparaco Mich.,15.9
-100.23,20,TEPMC,MICH,Tepuxtepec Mich.,13.3
-100.41,19.84,LDFMC,MICH,Laguna del Fresno Mich.,16.5
-102.72,20.07,SAHMC,MICH,Sahuayo Mich.,16.3
-102.4,20.1,SSIMC,MICH,San SimÛn Mich.,17.1
-101.72,20.13,ANGMC,MICH,Angamacutiro Mich. SMN*,17.1
-101.72,20.13,MOCMC,MICH,Melchor Ocampo Mich.,16.4
-102.75,20.15,LPAMC,MICH,La Palma Mich.,17.2
-101.86,20.21,CORMC,MICH,Corrales Mich.,16.4
-101.63,20.25,LANMC,MICH,Los ¡ngeles Mich.,16.8
-101.6,20.3,PORMC,MICH,Pastor Ortiz Mich.,17.4
-102.44,20.3,DGNMC,MICH,De Gonzalo Mich.,18.6
-101.46,20.32,CBLMC,MICH,Casa Blanca Mich.,16.1
-102.24,20.34,YURMC,MICH,YurÈcuaro Mich.,18.2
-102,20.35,LPDMC,MICH,La Piedad Mich.,18.7
-102.6,19.96,JARMC,MICH,Jaripo Mich.,17.0
-102.54,19.98,GUAMC,MICH,Guaracha Mich.,17.8
-102.42,20.18,BIBMC,MICH,Barraje de Ibarra Mich.,16.5
-102.46,20.21,SCRMC,MICH,San CristÛbal Mich.,15.4
-102.13,18.85,LPNMC,MICH,Los Panches Mich.,25.2
-102.18,17.94,LCARDENASMAR,MICH,L·zaro C·rdenas Mich. SEMAR*,26.1
-100.29,19.54,MMONII,MICH,Mariposa Monarca 2 Mich. SMN*,9.5
-100.28,19.67,MMONARCAI,MICH,Mariposa Monarca 1 Mich. SMN*,8.1
-100.3,19.77,TMUMC,MICH,Tercer Mundo Mich.,13.3
-100.23,20,TEPUXTEPECF,MICH,Tepuxtepec Mich. FENIX*,14.0
-102.21,18.02,MLCMC,MICH,Melchor Ocampo L.C. Mich.,26.7
-102.08,19.42,URUAPAN,MICH,Uruapan Mich. SMN*,15.8
-101.18,19.69,MORMC,MICH,Observatorio de Morelia Mich.,17.1
-101.2,19.7,MORELIAob,MICH,Observatorio de Morelia Mich. SMN*,17.5
-102.32,19.98,ZAMORAob,MICH,Observatorio de Zamora Mich. SMN*,17.9
-102.28,20.01,ZAMMC,MICH,Observatorio de Zamora Mich.,18.0
-99.32,18.63,PIXMR,MOR,Puente de Ixtla Mor.,21.8
-98.76,18.88,OCTMR,MOR,Ocuituco Mor.,18.0
-98.83,18.95,ACHMR,MOR,Achichipico Mor.,18.4
-98.75,18.88,HUEMR,MOR,Hueyapan Mor.,14.3
-99.04,18.58,SPHMR,MOR,San Pablo Hidalgo Mor.,23.6
-99.02,18.44,HUTMR,MOR,Huautla Mor.,21.2
-99.31,18.49,TILMR,MOR,Tilzapotla Mor.,22.3
-99.18,18.57,HIGMR,MOR,HiguerÛn Mor.,24.3
-98.84,18.6,TPLMR,MOR,Tepalcingo Mor.,21.8
-99.38,18.6,AMCMR,MOR,Amacuzac Mor.,21.3
-99.2,18.6,JOJMR,MOR,Jojutla Mor.,23.5
-99.42,18.61,HUAMR,MOR,Huajintl·n Mor.,22.6
-98.91,18.68,LCUMR,MOR,La Cuera Mor.,20.9
-98.8,18.7,JNCMR,MOR,Jonacatepec Mor.,19.7
-99,18.73,MYOMR,MOR,Moyotepec Mor.,22.2
-99.26,18.73,ALUMR,MOR,Alpuyeca Mor.,21.6
-99.33,18.77,RODMR,MOR,El Rodeo Mor.,23.2
-98.79,18.78,TMCMR,MOR,Temoac Mor.,18.0
-98.95,18.81,CUAMR,MOR,Cuautla Mor.,18.4
-98.75,18.81,TLOMR,MOR,Tlacotepec Mor.,17.9
-99.2,18.9,CUEMR,MOR,Cuernavaca Mor.,19.9
-99.22,18.86,TEMMR,MOR,Temixco Mor.,22.8
-99.05,18.9,YAHMR,MOR,Yautepec Mor.,20.4
-98.9,18.9,OAXMR,MOR,Oaxtepec Mor.,20.4
-99.19,18.92,SLDMR,MOR,Solidaridad Mor.,18.9
-99.26,19.03,HUIMR,MOR,Huitzilac Mor.,12.1
-98.94,19.04,TLCMR,MOR,Tlacualera Mor.,11.4
-99.14,18.52,NEXMR,MOR,Nexpa Mor.,23.2
-98.79,18.69,ELPMR,MOR,El PeÒÛn Mor.,19.9
-98.93,18.95,ATLMR,MOR,Atlatlahucan Mor.,18.3
-99.25,19.05,TRESMARIAS,MOR,Tres MarÌas Mor. SMN*,10.8
-99.25,18.68,XXOMR,MOR,Xoxocotla Mor.,22.0
-99.03,18.92,OACMR,MOR,Oacalco Mor.,21.1
-99.16,18.77,PROMR,MOR,Progreso Mor.,20.8
-98.94,18.54,SHUAUTLA,MOR,Sierra de Huautla Mor. SMN*,23.0
-99.25,18.61,TQGMR,MOR,Tequesquitengo Mor.,23.5
-99.38,18.7,CUTMR,MOR,Cuautlita Mor.,22.8
-99.43,18.87,PAPMR,MOR,Palpan Mor.,20.1
-98.71,18.88,TETMR,MOR,Tetela del Volc·n Mor.,16.9
-99.16,18.88,IMTMR,MOR,Instituto Mexicano de TecnologÌa del Agua Mor. SMN*,21.0
-98.78,18.94,HUXMR,MOR,Huecahuaxco Mor.,15.9
-103.74,24.4,NIRDR,MOR,Granja Nirvana Dgo.,16.1
-98.96,18.85,CASMR,MOR,Casasano Mor.,20.5
-99.2,18.65,ZCTMR,MOR,Observatorio de Zacatepec Mor.,22.8
-99.22,18.91,OBSMR,MOR,Observatorio de Cuernavaca Mor.,19.1
-98.92,18.99,TOTMR,MOR,Totolapan Mor.,18.8
-99.31,19.05,LZEMPOALA,MOR,Lagunas de Zempoala Mor. SMN*,9.1
-105.11,21.83,CAPNR,NAY,Capomal Nay.,21.9
-104.52,22.25,JMANR,NAY,Jes˙s MarÌa Nay.,23.5
-105.38,22.47,ACAPONETA,NAY,Acaponeta Nay. SMN*,21.1
-104.3,21.04,IXTLANRIO,NAY,Ixtl·n del RÌo Nay. SMN*,18.7
-105.29,21.53,SANBLASMAR,NAY,San Blas Nay. SEMAR*,19.7
-106.54,21.63,ISLASMARIASMAR,NAY,Islas MarÌas Nay. SEMAR*,20.7
-104.89,21.49,TEPNR,NAY,Observatorio de Tepic Nay.,20.0
-100.17,23.68,DARNL,NL,Doctor Arroyo N.L.,15.0
-99.78,23.98,ZRGNL,NL,Zaragoza N.L.,15.0
-99.82,24.1,ARRNL,NL,Aramberri N.L.,14.9
-99.91,24.32,ASCNL,NL,La AscensiÛn N.L.,9.9
-99.7,24.78,CRUNL,NL,Crucitas N.L.,15.9
-100.08,24.83,GALNL,NL,Galeana N.L.,11.2
-99.58,24.87,CAMNL,NL,Camacho N.L.,17.5
-99.4,24.94,CPRNL,NL,JosÈ LÛpez Portillo N.L.,16.6
-99.22,24.99,PAMNL,NL,La Pamona N.L.,16.8
-100.55,25.03,SRANL,NL,San Rafael N.L.,9.8
-99.83,25.17,MTMNL,NL,Montemorelos N.L.,14.6
-99.53,25.5,LERNL,NL,Las Enramadas N.L.,15.7
-100.2,25.52,ECSNL,NL,El Cerrito N.L.,14.4
-100.27,25.68,MTRNL,NL,Monterrey N.L.,16.8
-100.27,25.8,CANNL,NL,El Canad· N.L.,15.8
-99.2,26.02,MDRNL,NL,Madero N.L.,16.2
-99.61,26.09,CRVNL,NL,Cerralvo N.L.,13.8
-100.13,27.24,ANHNL,NL,An·huac N.L.,14.1
-100.12,23.42,MYNNL,NL,Mier y Noriega N.L.,15.9
-99.44,24.98,CARNL,NL,Carmen de los Elizondo Linares N.L.,16.0
-100.39,25.56,CDEMTYI,NL,Cumbres de Monterrey 1 N.L. SMN*,16.0
-100.31,25.58,ELDIENTE,NL,El Diente N. L. SMN*,15.6
-100.13,25.43,LBCNL,NL,Rodrigo GÛmez N.L.,15.6
-99.28,25.71,CCHNL,NL,Cuchillo Solidaridad N.L.,15.9
-96.3,17.78,VANOX,OAX,Valle Nacional Oax.,23.2
-96.53,17.43,ATEOX,OAX,Atepec Oax.,16.3
-96.45,17.12,SMAOX,OAX,San Antonio Cuajimoloyas Oax.,9.0
-96.72,15.81,COZOX,OAX,San Francisco Cozoaltepec Oax.,25.9
-95.7,16.01,ASTOX,OAX,Astata Oax.,26.7
-95.48,16.59,RHOOX,OAX,RÌo Hondo Oax.,25.1
-94.22,16.4,ZANOX,OAX,Zanatepec Oax.,26.9
-95.6,16.42,TEQOX,OAX,Tequisistl·n Oax.,26.1
-94.4,16.5,OSTOX,OAX,Ostuta Oax.,25.5
-95.1,16.58,IXTOX,OAX,Ixtepec Oax.,27.3
-94.82,16.58,CHIOX,OAX,Chicapa Oax.,26.0
-95.93,16.65,BOQOX,OAX,Boquilla 1 Oax.,23.1
-96.7,17,OAOOX,OAX,Observatorio de Aeropuerto Oaxaca Oax.,19.5
-96.73,17.07,OACOX,OAX,Oaxaca Centro Oax.,21.0
-96.72,17.07,BAEOX,OAX,Base AÈrea Oax.,19.2
-97.78,17.81,HLOOX,OAX,Observatorio de Huajuapan de LeÛn Oax.,18.8
-96.2,17.87,JACOX,OAX,Jacatepec Oax.,21.4
-96.53,17.88,SFUOX,OAX,San Felipe Usila Oax.,20.8
-96.26,18,CDOOX,OAX,Miguel de la Madrid Hurtado Oax.,21.9
-96.41,18.23,TEMOX,OAX,Presidente Alem·n Oax.,22.9
-95.92,17.73,RMLOX,OAX,RÌo Manso Lalana Oax.,23.9
-98.14,17.5,SLAOX,OAX,Silacayo·pam Oax.,19.0
-97.42,17.55,TEPOX,OAX,San Juan Teposcolula Oax.,14.3
-97.82,17.75,FOYOX,OAX,San Francisco Yosocuta Oax.,19.6
-98.39,17.76,ZALOX,OAX,Zapotitl·n Lagunas Oax.,20.1
-97.82,17.89,ZAPOX,OAX,Zapotitl·n Palmas Oax.,22.2
-97.54,17.73,STTOX,OAX,Santiago Teotongo Oax.,14.0
-95.37,16.43,EMAOX,OAX,El MarquÈs Oax.,27.3
-96.55,17.27,SCIOX,OAX,Ixtepeji Oax.,16.6
-97.72,17.53,AMTOX,OAX,San Antonino Monte Verde Oax.,17.7
-97.68,18.19,SNCOX,OAX,Santiago Chazumba Oax.,17.6
-97.81,17.65,TSLOX,OAX,Heroica Villa Tezoatl·n de Segura y Luna Oax.,18.9
-97.78,17.81,HDLOX,OAX,Huajuapan de LeÛn Oax.,18.6
-97.02,17.46,CMTOX,OAX,Santiago Camotl·n Oax.,17.1
-98.28,17.53,CALOX,OAX,Calihual· Oax.,20.5
-96.1,17.02,AYUOX,OAX,Ayutla Oax.,8.1
-97.69,15.97,LCHACAHUA,OAX,Laguna Chacahua Oax. SMN*,27.1
-95.19,16.17,SALINACRUZmar,OAX,Salina Cruz Oax. SEMAR*,27.8
-95.04,16.88,MROOX,OAX,MatÌas Romero Oax. SMN*,22.6
-96.72,17,OAXACAob,OAX,Observatorio de Oaxaca Oax. SMN*,19.8
-97.84,17.16,SACOX,OAX,San AndrÈs Chicahuaxtla Oax.,13.6
-97.25,17.44,NOCHISTLAN,OAX,Nochistl·n Oax. SMN*,15.0
-97.77,17.79,HUAJUAPANob,OAX,Observatorio de Huajuapan de LeÛn Oax. SMN*,19.1
-98.05,16.35,PNTOX,OAX,Pinotepa Oax. SMN*,27.3
-96.48,15.67,PTAOX,OAX,Observatorio de Puerto ¡ngel Oax.,26.7
-95.2,16.18,SCROX,OAX,Observatorio de Salina Cruz Oax.,28.3
-96.58,16.34,MIAHUATLAN,OAX,Miahuatl·n Oax. SMN*,18.0
-97.88,17.23,SMNOX,OAX,San MartÌn Itunyoso Oax.,13.5
-97.68,17.27,TLXOX,OAX,Heroica Ciudad de Tlaxiaco Oax.,14.4
-96.93,17.52,SNAOX,OAX,Santiago Nacaltepec Oax.,13.0
-97.62,17.57,CHDOX,OAX,Chilapa de DÌaz Oax.,18.4
